date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000933,3.9000,3.9200,3.8300,3.8400,3.9000,10149397,39215701.1900
2019-01-03,sz.000933,3.8400,3.9600,3.8200,3.8800,3.8400,15345339,59659624.3500
2019-01-04,sz.000933,3.8300,4.0100,3.8300,4.0000,3.8800,22672970,89618208.7400
2019-01-07,sz.000933,4.0200,4.1300,4.0000,4.1100,4.0000,33033764,134693219.1500
2019-01-08,sz.000933,4.1000,4.1000,4.0400,4.0500,4.1100,17724449,71911513.3400
2019-01-09,sz.000933,4.0800,4.1400,4.0300,4.0400,4.0500,22007100,89987858.0000
2019-01-10,sz.000933,4.0400,4.0500,3.9800,3.9900,4.0400,20994600,84314670.4000
2019-01-11,sz.000933,3.9900,4.1300,3.9800,4.0800,3.9900,31174882,126879493.1400
2019-01-14,sz.000933,4.0600,4.1900,4.0600,4.0900,4.0800,31823750,131575977.7900
2019-01-15,sz.000933,4.0700,4.0900,3.9900,4.0800,4.0900,25599178,103553170.8600
2019-01-16,sz.000933,4.0700,4.1900,4.0500,4.1300,4.0800,32567726,133932899.6300
2019-01-17,sz.000933,4.1200,4.2800,4.0700,4.1800,4.1300,58701059,246136067.2900
2019-01-18,sz.000933,4.1500,4.6000,4.1500,4.4500,4.1800,151365132,680416705.3300
2019-01-21,sz.000933,4.4000,4.4700,4.3000,4.4400,4.4500,102911956,450407097.7300
2019-01-22,sz.000933,4.3800,4.4200,4.2100,4.2400,4.4400,66282619,284609918.0700
2019-01-23,sz.000933,4.2000,4.3400,4.1900,4.2500,4.2400,47533319,202619603.0800
2019-01-24,sz.000933,4.2500,4.3900,4.1900,4.3100,4.2500,44394905,189716496.6400
2019-01-25,sz.000933,4.2700,4.2900,4.1600,4.1800,4.3100,34082027,144284424.7500
2019-01-28,sz.000933,4.2100,4.2500,4.1500,4.2200,4.1800,20405168,85813291.7800
2019-01-29,sz.000933,4.1600,4.1900,3.9900,4.0300,4.2200,39757980,161601552.5100
2019-01-30,sz.000933,4.0000,4.0500,3.9200,3.9300,4.0300,26447897,105334198.9900
2019-01-31,sz.000933,3.9400,4.0100,3.7100,3.8100,3.9300,43141216,166769145.3200
2019-02-01,sz.000933,3.8100,3.9400,3.8000,3.9400,3.8100,19801601,77168045.3400
2019-02-11,sz.000933,3.9400,4.0400,3.9400,4.0400,3.9400,19330885,77386975.4400
2019-02-12,sz.000933,4.0200,4.1200,4.0100,4.1000,4.0400,30100344,122387979.6700
2019-02-13,sz.000933,4.0900,4.3700,4.0500,4.2200,4.1000,54136102,227102176.2700
2019-02-14,sz.000933,4.2000,4.2400,4.1500,4.2100,4.2200,31097789,130393126.7300
2019-02-15,sz.000933,4.2000,4.2500,4.1500,4.1700,4.2100,23024421,96526222.6600
2019-02-18,sz.000933,4.2000,4.3300,4.1900,4.3100,4.1700,49053199,209312751.8900
2019-02-19,sz.000933,4.3300,4.3900,4.2300,4.2700,4.3100,41287286,177274578.3200
2019-02-20,sz.000933,4.2900,4.4300,4.2700,4.3500,4.2700,59607450,259250887.0600
2019-02-21,sz.000933,4.3400,4.4400,4.2900,4.3300,4.3500,57693589,251313653.1100
2019-02-22,sz.000933,4.3100,4.3900,4.2500,4.3800,4.3300,54160157,234035111.8700
2019-02-25,sz.000933,4.4500,4.7500,4.3900,4.7100,4.3800,118601023,545470245.2000
2019-02-26,sz.000933,4.6600,5.1800,4.6000,4.8500,4.7100,177893998,874533523.8700
2019-02-27,sz.000933,4.7800,5.0400,4.7500,4.9000,4.8500,102276158,498789234.3200
2019-02-28,sz.000933,4.8900,5.1200,4.8500,5.0000,4.9000,86195408,431495952.8100
2019-03-01,sz.000933,5.0400,5.0400,4.8500,4.9500,5.0000,61309807,301476973.7000
2019-03-04,sz.000933,4.9800,5.1400,4.9000,5.0500,4.9500,104123276,525018864.0500
2019-03-05,sz.000933,4.9900,5.2600,4.9500,5.2400,5.0500,112232784,578189927.5000
2019-03-06,sz.000933,5.2400,5.6400,5.1100,5.4400,5.2400,132129385,703241098.8800
2019-03-07,sz.000933,5.3300,5.9800,5.2800,5.8200,5.4400,167684145,957546608.0800
2019-03-08,sz.000933,5.5500,5.7000,5.2400,5.2400,5.8200,140560375,766567612.8600
2019-03-11,sz.000933,5.1800,5.3500,5.1600,5.3400,5.2400,76850793,404082247.7400
2019-03-12,sz.000933,5.3400,5.4300,5.1500,5.2700,5.3400,98113239,521672509.0300
2019-03-13,sz.000933,5.2200,5.3400,5.0300,5.0900,5.2700,75648963,393127762.3300
2019-03-14,sz.000933,5.0500,5.2100,4.9700,5.0500,5.0900,62497969,316277844.8100
2019-03-15,sz.000933,5.0700,5.1700,5.0500,5.1400,5.0500,45521234,232430336.2800
2019-03-18,sz.000933,5.2200,5.3300,5.1400,5.3100,5.1400,71556133,375091268.0300
2019-03-19,sz.000933,5.3100,5.3200,5.1900,5.2400,5.3100,49581089,259641719.8800
2019-03-20,sz.000933,5.2300,5.3300,5.0600,5.3100,5.2400,75481981,394469458.0700
2019-03-21,sz.000933,5.2900,5.3500,5.2000,5.2900,5.3100,69386549,367160214.4400
2019-03-22,sz.000933,5.2700,5.2700,5.1200,5.2000,5.2900,50956367,264484012.3400
2019-03-25,sz.000933,5.0800,5.1300,5.0200,5.0300,5.2000,43683500,221654801.9200
2019-03-26,sz.000933,5.0400,5.0800,4.8300,4.8400,5.0300,43856507,216391518.6700
2019-03-27,sz.000933,4.8700,4.8900,4.8100,4.8600,4.8400,26201615,126897218.0900
2019-03-28,sz.000933,4.8400,4.9100,4.7400,4.7400,4.8600,32717264,157231124.8200
2019-03-29,sz.000933,4.7400,4.9600,4.7400,4.9600,4.7400,45352583,220772704.6900
2019-04-01,sz.000933,5.0100,5.4200,5.0100,5.3500,4.9600,117611963,620190717.4500
2019-04-02,sz.000933,5.3800,5.4500,5.2000,5.3400,5.3500,112827176,597216009.2300
2019-04-03,sz.000933,5.2800,5.3900,5.2400,5.3800,5.3400,70215679,374524998.4200
2019-04-04,sz.000933,5.6000,5.7200,5.3600,5.4000,5.3800,105559835,580011421.9600
2019-04-08,sz.000933,5.4500,5.9300,5.4300,5.6900,5.4000,157996100,898144064.5900
2019-04-09,sz.000933,5.5800,5.5900,5.3100,5.4700,5.6900,81841034,446471329.3600
2019-04-10,sz.000933,5.3700,5.5000,5.3000,5.4000,5.4700,52319634,281511683.6100
2019-04-11,sz.000933,5.3600,5.5200,5.2700,5.2800,5.4000,50243482,270475858.2000
2019-04-12,sz.000933,5.2500,5.3000,5.1600,5.2400,5.2800,32532359,169956716.0200
2019-04-15,sz.000933,5.3900,5.4300,5.2200,5.2300,5.2400,48640280,260115103.9000
2019-04-16,sz.000933,5.1800,5.5800,5.1500,5.4700,5.2300,83373686,451716994.2900
2019-04-17,sz.000933,5.4100,5.6400,5.4000,5.5500,5.4700,85598726,472204390.7200
2019-04-18,sz.000933,5.5200,5.7000,5.5000,5.5200,5.5500,56575607,315347912.0100
2019-04-19,sz.000933,5.5300,5.7800,5.3500,5.6600,5.5200,76461259,424601377.9300
2019-04-22,sz.000933,5.6100,5.6500,5.3800,5.4100,5.6600,60669455,332745002.3600
2019-04-23,sz.000933,5.4000,5.5500,5.3100,5.3800,5.4100,47412009,255961827.8500
2019-04-24,sz.000933,5.3700,5.4700,5.3300,5.4100,5.3800,35809670,193168293.4300
2019-04-25,sz.000933,5.3900,5.4400,5.0400,5.0700,5.4100,57870251,302443987.8100
2019-04-26,sz.000933,5.0100,5.0600,4.9000,4.9500,5.0700,42440935,211154329.8400
2019-04-29,sz.000933,4.9700,4.9900,4.6800,4.7500,4.9500,40101487,193338090.1000
2019-04-30,sz.000933,4.7500,4.8900,4.7400,4.8200,4.7500,21912543,105572317.8600
2019-05-06,sz.000933,4.6000,4.6600,4.3400,4.3400,4.8200,49903228,223087408.0500
2019-05-07,sz.000933,4.3800,4.4200,4.2600,4.3900,4.3400,29307122,127683581.6800
2019-05-08,sz.000933,4.3000,4.4200,4.1900,4.3200,4.3900,21967878,94928979.5800
2019-05-09,sz.000933,4.2600,4.3700,4.2300,4.3000,4.3200,14904627,64361538.9500
2019-05-10,sz.000933,4.3500,4.4400,4.2300,4.4400,4.3000,33040332,144638987.1500
2019-05-13,sz.000933,4.3700,4.4300,4.3500,4.3600,4.4400,18538962,81255411.3400
2019-05-14,sz.000933,4.3100,4.4100,4.2600,4.3800,4.3600,19222210,83834850.2400
2019-05-15,sz.000933,4.4300,4.5500,4.4000,4.4900,4.3800,31452646,140835412.0500
2019-05-16,sz.000933,4.5000,4.7200,4.4800,4.5900,4.4900,51829967,239937707.2300
2019-05-17,sz.000933,4.5600,4.5900,4.3000,4.3000,4.5900,38039437,169079752.8400
2019-05-20,sz.000933,4.3100,4.4100,4.2000,4.4000,4.3000,26234328,113106375.2000
2019-05-21,sz.000933,4.3600,4.5700,4.3600,4.5200,4.4000,31078809,139359727.2900
2019-05-22,sz.000933,4.5000,4.5800,4.4300,4.4800,4.5200,25461739,114747509.5500
2019-05-23,sz.000933,4.4600,4.5200,4.3800,4.4000,4.4800,26340377,116732241.2000
2019-05-24,sz.000933,4.3400,4.4800,4.3300,4.3600,4.4000,15495179,68276888.6400
2019-05-27,sz.000933,4.3300,4.5400,4.2500,4.4400,4.3600,37956360,166255144.6900
2019-05-28,sz.000933,4.3700,4.4500,4.3300,4.3500,4.4400,28507602,125351704.2600
2019-05-29,sz.000933,4.3500,4.4600,4.3300,4.3900,4.3500,25912913,114379703.4100
2019-05-30,sz.000933,4.3700,4.5000,4.3500,4.4700,4.3900,33882874,149780767.8900
2019-05-31,sz.000933,4.4500,4.4800,4.3700,4.3700,4.4700,30438027,134396746.7900
2019-06-03,sz.000933,4.3700,4.3900,4.2400,4.2500,4.3700,27232376,116858716.7000
2019-06-04,sz.000933,4.2500,4.2800,4.1200,4.1600,4.2500,20524404,85999250.1600
2019-06-05,sz.000933,4.2000,4.2200,4.1300,4.1500,4.1600,15919741,66376693.7300
2019-06-06,sz.000933,4.1500,4.1600,4.0100,4.0400,4.1500,23179327,94571919.2700
2019-06-10,sz.000933,4.0400,4.1300,4.0100,4.0900,4.0400,16090136,65656634.9800
2019-06-11,sz.000933,4.0900,4.2800,4.0800,4.2600,4.0900,31928495,134382707.3300
2019-06-12,sz.000933,4.2400,4.3200,4.2300,4.2400,4.2600,27242654,116475991.6600
2019-06-13,sz.000933,4.2400,4.2800,4.2000,4.2400,4.2400,15559376,65943316.4300
2019-06-14,sz.000933,4.2400,4.3000,4.1500,4.1500,4.2400,20380281,86253660.1600
2019-06-17,sz.000933,4.1300,4.2800,4.1100,4.2000,4.1500,17929642,75482477.8600
2019-06-18,sz.000933,4.2100,4.2400,4.1400,4.2000,4.2000,9847308,41225080.2300
2019-06-19,sz.000933,4.2800,4.3100,4.2100,4.2300,4.2000,18401412,78391329.7000
2019-06-20,sz.000933,4.2200,4.3400,4.1800,4.3200,4.2300,27883477,119462387.7900
2019-06-21,sz.000933,4.3400,4.4100,4.3300,4.3600,4.3200,28621270,124993177.8100
2019-06-24,sz.000933,4.3400,4.4600,4.3300,4.3600,4.3600,28105043,123543762.3600
2019-06-25,sz.000933,4.3700,4.4100,4.2700,4.3300,4.3600,24611924,106575264.8500
2019-06-26,sz.000933,4.3200,4.3600,4.2700,4.2900,4.3300,16256746,70020324.4200
2019-06-27,sz.000933,4.3000,4.3700,4.2800,4.3500,4.2900,26374770,114463993.4000
2019-06-28,sz.000933,4.3400,4.3400,4.1600,4.2100,4.3500,28293466,119354124.4100
2019-07-01,sz.000933,4.2800,4.3700,4.2600,4.3600,4.2100,28984528,125270433.9900
2019-07-02,sz.000933,4.3600,4.3700,4.3100,4.3300,4.3600,16587011,72034754.6100
2019-07-03,sz.000933,4.3300,4.3400,4.2400,4.2600,4.3300,16378458,69925033.9200
2019-07-04,sz.000933,4.2700,4.2800,4.2200,4.2500,4.2600,12754150,54287166.0000
2019-07-05,sz.000933,4.2700,4.2700,4.2100,4.2500,4.2500,11090386,46951939.5300
2019-07-08,sz.000933,4.2400,4.2400,4.0500,4.0700,4.2500,23066237,94819516.7500
2019-07-09,sz.000933,4.0600,4.0700,4.0100,4.0600,4.0600,15383400,62220922.0000
2019-07-10,sz.000933,4.0800,4.0800,4.0000,4.0300,4.0600,11269400,45447187.0000
2019-07-11,sz.000933,4.0600,4.1100,4.0300,4.0600,4.0300,13729572,55907303.4200
2019-07-12,sz.000933,4.0500,4.1500,4.0300,4.1000,4.0600,16081234,65820982.3700
2019-07-15,sz.000933,4.1700,4.1800,4.0900,4.1700,4.1000,15524577,64308191.4000
2019-07-16,sz.000933,4.1400,4.2000,4.1400,4.1700,4.1700,10998600,45897959.0000
2019-07-17,sz.000933,4.1700,4.2200,4.1600,4.1600,4.1700,11501722,48111469.7500
2019-07-18,sz.000933,4.1600,4.2000,4.1300,4.1400,4.1600,14392401,59975036.2000
2019-07-19,sz.000933,4.1600,4.2500,4.1500,4.2100,4.1400,21190433,89271753.7400
2019-07-22,sz.000933,4.1900,4.2000,4.0600,4.0800,4.2100,17517820,71954378.6800
2019-07-23,sz.000933,4.0700,4.1000,4.0500,4.0800,4.0800,12788745,52094237.6600
2019-07-24,sz.000933,4.0800,4.1400,4.0800,4.1100,4.0800,12045280,49557555.2000
2019-07-25,sz.000933,4.1000,4.1500,4.0800,4.1200,4.1100,13090361,53779302.0900
2019-07-26,sz.000933,4.1100,4.1400,4.0600,4.0900,4.1200,12968478,53059476.3600
2019-07-29,sz.000933,4.1000,4.1000,4.0600,4.0700,4.0900,7411143,30212763.6100
2019-07-30,sz.000933,4.0900,4.1300,4.0700,4.1100,4.0700,13042143,53629686.5900
2019-07-31,sz.000933,4.1000,4.1100,4.0700,4.0800,4.1100,7663723,31286867.0400
2019-08-01,sz.000933,4.0600,4.0800,4.0100,4.0200,4.0800,15853215,63956047.9000
2019-08-02,sz.000933,3.9300,3.9700,3.9000,3.9600,4.0200,14636724,57733558.0700
2019-08-05,sz.000933,3.9500,3.9900,3.9200,3.9300,3.9600,10462500,41299677.0000
2019-08-06,sz.000933,3.8700,3.8700,3.7300,3.8200,3.9300,18487335,70420259.9900
2019-08-07,sz.000933,3.8300,3.8800,3.8200,3.8600,3.8200,11724761,45159902.1900
2019-08-08,sz.000933,3.8600,3.9000,3.8400,3.8400,3.8600,10303582,39775474.9900
2019-08-09,sz.000933,3.8600,3.8700,3.7700,3.7700,3.8400,11777937,45042983.3000
2019-08-12,sz.000933,3.7900,3.8200,3.7300,3.8200,3.7700,12951287,48814633.1000
2019-08-13,sz.000933,3.7600,3.8900,3.7500,3.8500,3.8200,16144729,62028146.9100
2019-08-14,sz.000933,3.8900,3.9100,3.8400,3.8400,3.8500,12739546,49252804.5200
2019-08-15,sz.000933,3.7500,3.9200,3.7500,3.9000,3.8400,19875197,76416420.4200
2019-08-16,sz.000933,3.8900,3.9700,3.8700,3.9200,3.9000,20476906,80661630.0400
2019-08-19,sz.000933,3.9400,4.0500,3.9200,4.0300,3.9200,18580372,74231496.6200
2019-08-20,sz.000933,4.1100,4.3700,4.0800,4.1900,4.0300,66947172,283150073.7100
2019-08-21,sz.000933,4.1400,4.3100,4.1000,4.2100,4.1900,36773572,154832146.0400
2019-08-22,sz.000933,4.2500,4.3500,4.2500,4.3100,4.2100,36794991,158251374.4000
2019-08-23,sz.000933,4.4100,4.4700,4.2700,4.3100,4.3100,31209786,135333515.1400
2019-08-26,sz.000933,4.2000,4.7400,4.1900,4.6000,4.3100,111749811,511116082.3000
2019-08-27,sz.000933,4.5500,4.5500,4.4200,4.4700,4.6000,74542660,333238533.7700
2019-08-28,sz.000933,4.4700,4.4700,4.3500,4.3600,4.4700,35133268,154009513.3300
2019-08-29,sz.000933,4.3800,4.3900,4.2500,4.2800,4.3600,29710399,128014155.5400
2019-08-30,sz.000933,4.3200,4.3500,4.2200,4.2400,4.2800,22680658,97190584.8600
2019-09-02,sz.000933,4.2400,4.3500,4.2400,4.3400,4.2400,22007393,95145525.8600
2019-09-03,sz.000933,4.3400,4.3500,4.3000,4.3300,4.3400,15738400,67994747.5200
2019-09-04,sz.000933,4.3500,4.5900,4.3400,4.4800,4.3300,52131211,233279451.0000
2019-09-05,sz.000933,4.4800,4.6000,4.4600,4.5000,4.4800,47790810,216764564.1500
2019-09-06,sz.000933,4.5000,4.5500,4.4600,4.5200,4.5000,23231160,104922322.3400
